timestamp,device_id,device_type,cpu_usage,memory_usage,bandwidth_mbps,latency_ms,packet_loss_percent,error_rate_percent,tcp_connections,udp_connections,disk_io_percent,temperature_c,issue_detected
2023-01-01 00:00:00,DEV-041,Router,37.45,38.34,597.15,32.18,0.43,0.09,197,95,16.24,47.7,high_latency
2023-01-01 00:05:00,DEV-016,Switch,23.05,34.41,536.29,1.17,0.0,0.07,119,86,12.74,37.9,none
2023-01-01 00:10:00,DEV-007,Workstation,51.99,37.29,510.13,2.15,3.37,0.11,115,87,15.19,43.5,packet_loss
2023-01-01 00:15:00,DEV-003,Router,20.98,100.0,497.98,2.88,0.75,0.04,156,40,9.37,46.0,high_memory
2023-01-01 00:20:00,DEV-033,Workstation,41.08,85.0,482.65,4.4,0.06,0.06,136,101,22.75,36.2,high_memory
2023-01-01 00:25:00,DEV-046,Workstation,34.87,35.38,398.46,6.22,0.81,0.15,124,73,22.65,49.9,none
2023-01-01 00:30:00,DEV-029,Workstation,22.82,37.78,334.05,2.61,0.74,0.17,147,100,22.89,41.8,none
2023-01-01 00:35:00,DEV-001,Switch,35.43,58.46,494.63,8.13,0.0,0.14,152,74,20.73,35.1,none
2023-01-01 00:40:00,DEV-022,Firewall,26.72,44.29,721.68,3.96,0.26,0.07,177,86,15.76,47.6,none
2023-01-01 00:45:00,DEV-049,Firewall,31.47,51.63,394.69,4.34,0.38,0.03,158,85,20.04,43.8,none
2023-01-01 00:50:00,DEV-025,Router,8.79,34.96,448.59,3.4,0.45,0.12,206,83,22.06,44.6,none
2023-01-01 00:55:00,DEV-023,Workstation,1.24,39.69,509.03,9.93,0.44,0.12,148,56,29.14,48.8,none
2023-01-01 01:00:00,DEV-003,Server,41.89,29.1,710.42,2.2,0.68,0.21,120,68,20.8,42.5,none
2023-01-01 01:05:00,DEV-025,Router,6.76,40.84,340.65,5.95,0.22,0.18,126,73,26.51,38.8,none
2023-01-01 01:10:00,DEV-041,Workstation,33.44,55.7,258.88,5.37,0.58,0.14,112,53,24.18,46.5,none
2023-01-01 01:15:00,DEV-024,Workstation,33.78,44.17,398.0,5.46,0.59,0.06,205,89,10.47,48.3,none
2023-01-01 01:20:00,DEV-005,Router,15.41,49.46,673.79,3.36,0.79,0.12,174,117,18.04,41.2,none
2023-01-01 01:25:00,DEV-050,Firewall,16.69,30.23,488.43,5.68,0.58,0.14,150,109,17.88,58.6,none
2023-01-01 01:30:00,DEV-015,Router,39.42,29.73,339.37,5.96,0.43,0.14,164,78,13.23,37.4,none
2023-01-01 01:35:00,DEV-030,Firewall,23.34,50.3,532.11,2.51,0.55,0.12,123,83,20.47,39.3,none
2023-01-01 01:40:00,DEV-023,Switch,35.4,46.75,662.46,7.11,0.09,0.05,165,90,24.12,64.3,none
2023-01-01 01:45:00,DEV-045,Router,38.6,53.65,643.1,6.3,0.41,0.14,126,75,16.12,45.4,none
2023-01-01 01:50:00,DEV-011,Workstation,64.76,17.62,602.94,1.77,0.36,0.15,151,58,14.28,48.4,none
2023-01-01 01:55:00,DEV-011,Server,19.08,42.62,506.84,3.7,1.14,0.13,89,83,14.71,49.3,none
2023-01-01 02:00:00,DEV-041,Workstation,18.15,38.65,575.75,6.73,0.14,0.08,135,66,34.12,47.0,none
2023-01-01 02:05:00,DEV-021,Router,11.13,51.04,818.32,7.06,0.04,0.08,188,65,23.55,48.9,none
2023-01-01 02:10:00,DEV-003,Firewall,16.14,39.31,13.81,2.95,0.42,0.04,198,51,16.48,45.7,none
2023-01-01 02:15:00,DEV-005,Switch,51.67,22.8,674.47,5.02,0.21,0.12,155,67,20.56,43.1,none
2023-01-01 02:20:00,DEV-037,Firewall,31.75,47.97,737.9,2.52,1.14,0.0,145,91,22.25,41.9,none
2023-01-01 02:25:00,DEV-032,Server,26.93,34.11,411.6,6.7,0.61,0.07,176,86,26.5,48.1,none
2023-01-01 02:30:00,DEV-042,Server,17.62,33.31,612.09,6.22,0.49,0.11,188,68,24.38,44.0,none
2023-01-01 02:35:00,DEV-009,Switch,26.79,53.22,623.81,6.63,0.89,0.1,170,73,22.59,44.3,none
2023-01-01 02:40:00,DEV-035,Firewall,31.51,47.18,377.27,9.18,0.2,0.04,184,95,24.99,48.1,none
2023-01-01 02:45:00,DEV-028,Workstation,29.87,29.27,511.37,3.65,0.79,0.09,125,73,23.3,42.2,none
